NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Variável (Código),Variável,Ano (Código),Ano,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Faixas de pessoal ocupado (Código),Faixas de pessoal ocupado
1,Brasil,1020,Unidades,96862,630,Número de empresas,2007,2007,1,Brasil,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,11,Rondônia,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,12,Acre,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,13,Amazonas,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,14,Roraima,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,15,Pará,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,16,Amapá,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,17,Tocantins,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,21,Maranhão,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,22,Piauí,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,23,Ceará,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,24,Rio Grande do Norte,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,25,Paraíba,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,26,Pernambuco,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,27,Alagoas,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,28,Sergipe,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,29,Bahia,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,31,Minas Gerais,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,32,Espírito Santo,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,33,Rio de Janeiro,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,35,São Paulo,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,41,Paraná,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,42,Santa Catarina,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,43,Rio Grande do Sul,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,50,Mato Grosso do Sul,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,51,Mato Grosso,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,52,Goiás,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2007,2007,53,Distrito Federal,104029,Total
1,Brasil,1020,Unidades,106733,630,Número de empresas,2008,2008,1,Brasil,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,11,Rondônia,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,12,Acre,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,13,Amazonas,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,14,Roraima,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,15,Pará,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,16,Amapá,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,17,Tocantins,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,21,Maranhão,104029,Total
3,Unidade da Federação,1020,Unidades,-,630,Número de empresas,2008,2008,22,Piauí,104029,Total
